Code,Name,Category Code,Unit,Size,Cost,Price,Alert Quantity, Tax Rate Name
QT-DWV008,CAPACITOR 12.5 MF,C1,box,NA,3.5,18.18,2,GST
QT-CAP014,CAPACITOR 14 MF,C1,box,NA,14,27.27,2,GST
QT-CAP015,CAPACITOR 15 MF,C1,box,NA,8.05,18.18,2,GST
QT-BEN010,CAPACITOR 16MF,C1,box,NA,7.05,18.18,2,GST
QT-CAP018,CAPACITOR 18 MF,C1,box,NA,8.4,18.18,2,GST
QT-CAP002,CAPACITOR 2 MF,C1,box,NA,9,18.18,2,GST
QT-CAP020,CAPACITOR 20 MF,C1,box,NA,8.94,18.18,2,GST
QT-CAP025,CAPACITOR 25 MF,C1,box,NA,12,22.72,2,GST
QT-CAP003,CAPACITOR 3 MF,C1,box,NA,8,18.18,2,GST
QT-CAP030,CAPACITOR 30 MF,C1,box,NA,15,27.27,2,GST
QT-CAP035,CAPACITOR 35 MF,C1,box,NA,15,27.27,2,GST
QT-CAP004,CAPACITOR 4 MF,C1,box,NA,3.5,18.18,2,GST
QT-CAP040,CAPACITOR 40 MF,C1,box,NA,15,27.27,2,GST
QT-CAP045,CAPACITOR 45 MF,C1,box,NA,19,36.36,2,GST
QT-CAP005,CAPACITOR 5 MF,C1,box,NA,3.5,18.18,2,GST
QT-CAP050,CAPACITOR 50 MF,C1,box,NA,18,36.36,2,GST
QT-CAP006,CAPACITOR 6 MF,C1,box,NA,3.5,18.18,2,GST
QT-CAP060,CAPACITOR 60 MF,C1,box,NA,20,36.36,2,GST
QT-CAP007,CAPACITOR 7 MF,C1,box,NA,3.5,18.18,2,GST
QT-CAP008,CAPACITOR 8 MF,C1,box,NA,3.5,18.18,2,GST
QT-CAP080,CAPACITOR 80 MF,C1,box,NA,22,36.36,2,GST
QT-CAP010,CAPACITOR CAP10,C1,box,NA,18,18.18,2,GST
INK-QI-FX9/10,COMPATIBLE CANON FX9/FX10 - 2000PGS,C1,box,NA,8,8,2,GST
QT-RF108GE,CONDENSOR FAN MOTOR,C1,box,NA,72.72,109.09,2,GST
AP-CONSUMABLES,CONSUMABLES,C1,box,NA,9.09,18.18,2,GST
NS-1560723-01/5,Contro Panel,C1,box,NA,50,75.45,2,GST
AS-8801232,Control Board,C1,box,NA,242.49,315.45,2,GST
NS-1448797,CONTROL BOARD,C1,box,NA,90,127.27,2,GST
ED-MA33002880,CONTROL BOARD MAYTAG DRYER,C1,box,NA,422.37,605,2,GST
NS-1434048R,Control Board Whse,C1,box,NA,146,219,2,GST
GLO-MSA-V03,CONTROL COOKTOP,C1,box,NA,89,89.09,2,GST
GLO-50.55073.010,CONTROL COOKTOP ELEMENT,C1,box,NA,12.09,35.45,2,GST
GLO-SWANN 5346,CONTROL COOKTOP ELEMENT,C1,box,NA,44,44.54,2,GST
GLO-MSA-312,CONTROL DUAL COOKTOP,C1,box,NA,62,62.72,2,GST
GLO-50.56078.007,CONTROL ELEMENT,C1,box,NA,44,44.54,2,GST
GLO-EF50.56078.008,CONTROL ELEMENT,C1,box,NA,44,44.54,2,GST
BSH-00647596,Control Module Programmed,C1,box,NA,244.33,318.18,2,GST
NS1560111-21/1,Control Panel,C1,box,NA,50,70,2,GST
NS-1560111-41/9,CONTROL PANEL COMPLETE SILVER,C1,box,NA,50,80.9,2,GST
BWG-W10469016,CONTROL PCB,C1,box,NA,110.45,180.9,2,GST
FP-528397 NAP,CONTROL PCB,C1,box,NA,120,180,2,GST
GLO-M58314,CONTROL SINGLE POLE,C1,box,NA,10,44.54,2,GST
SM-818731124,Control Themostat Smeg,C1,box,NA,48.52,98,2,GST
GLO-55.17059.290,CONTROL THERMOSTAT,C1,box,NA,59.7,89.09,2,GST
GLO-55.18064.090,CONTROL THERMOSTAT,C1,box,NA,40.04,80.9,2,GST
GLO-55.13053.010,Control Thermostat 066072,C1,box,NA,52.7,89.09,2,GST
PRO-AK80010D,control thermostat BAUMATIC twin capillary for bottom oven,C1,box,NA,63.25,95.45,2,GST
GLO-818731124,Control Thermostat Smeg,C1,box,NA,36.75,89.09,2,GST
GLO-818731127,Control Thermostat Smeg,C1,box,NA,35.25,89.09,2,GST
SM-818731127,Control Thermostat Smeg,C1,box,NA,48.79,98,2,GST
QT-DWF019,CONTROLLER,C1,box,NA,159,159.09,2,GST
FP-522843NAP,CONTROLLER PH5 (605) PCB 527715NAP,C1,box,NA,99.75,149.62,2,GST
DS-DO079025,COOLING FAN,C1,box,NA,56.14,96.36,2,GST
GLO-481893,COOLING FAN,C1,box,NA,110.74,166.36,2,GST
GLO-52354,COOLING FAN,C1,box,NA,29,89.09,2,GST
GLO-55410,COOLING FAN,C1,box,NA,39.2,89.09,2,GST
GLO-FZR240,COOLING FAN,C1,box,NA,29,89.09,2,GST
GLO-FZR300,COOLING FAN,C1,box,NA,29,89.09,2,GST
GLO-041199009903R,Cooling Fan Thermostat,C1,box,NA,14.5,26.36,2,GST
QT-4901ER2001C,Damper Assembly,C1,box,NA,14.5,29.09,2,GST
SAM-DA97-01880W,Damper Assembly,C1,box,NA,41,61.5,2,GST
BWG-61005234,DEFROST ELEMENT,C1,box,NA,40.45,62.72,2,GST
QT-RFP022,DEFROST ELEMENT,C1,box,NA,47.85,100,2,GST
SE-67005308,DEFROST ELEMENT,C1,box,NA,47.87,71.81,2,GST
SE-RF109D,DEFROST ELEMENT,C1,box,NA,69,69,2,GST
SE-RFP107,DEFROST ELEMENT,C1,box,NA,98,98,2,GST
ED-61006079,DEFROST ELEMENT & THERMOSTAT,C1,box,NA,71.06,107.27,2,GST
SE-RF202,DEFROST ELEMENT FP,C1,box,NA,72.72,109.09,2,GST
SAM-DA47-00247C,DEFROST ELEMENT SAMSUNG S/S,C1,box,NA,41.81,62.72,2,GST
SE-RF110,DEFROST ELEMENT U TYPE,C1,box,NA,78.78,118.18,2,GST
SE-RF200A,DEFROST ELEMENT WHIRLPOOL,C1,box,NA,59.39,89.09,2,GST
SAM-DA47-00247K,DEFROST ELEMNET,C1,box,NA,41.81,62.72,2,GST
DS-RF922,DEFROST HEATER,C1,box,NA,53.8,80.9,2,GST
QT-RF110D,DEFROST HEATER,C1,box,NA,16,62.72,2,GST
QT-RFLG012,Defrost Heater,C1,box,NA,28,59.09,2,GST
QT-RFP014,DEFROST HEATER E442BL,C1,box,NA,50.72,100,2,GST
QT-5300JB1088B,DEFROST HEATER LG,C1,box,NA,59.39,89.09,2,GST
QT-5300JB1091B,DEFROST HEATER LG,C1,box,NA,39.39,59.09,2,GST
SE-RF203,DEFROST HEATER LONG,C1,box,NA,72.72,109.09,2,GST
QT-DA32-00006W,DEFROST SENSOR,C1,box,NA,26,26.36,2,GST
QT-RFSM001,DEFROST SENSOR SAMSUNG,C1,box,NA,29,29,2,GST
SE-RF144A,DEFROST TERMINATION,C1,box,NA,41.81,62.72,2,GST
NS-1448818,DEFROST THERMOSTAT,C1,box,NA,20,44.54,2,GST
QT-RF027A,DEFROST THERMOSTAT,C1,box,NA,44,44.54,2,GST
SE-RF027,DEFROST THERMOSTAT,C1,box,NA,44.54,44.54,2,GST
SE-RF027A,DEFROST THERMOSTAT,C1,box,NA,62.72,62.72,2,GST
SE-RF027L,DEFROST THERMOSTAT,C1,box,NA,44,44.54,2,GST
ED-WR9X541,DEFROST TIMER,C1,box,NA,66.66,100,2,GST
NS-1407843,Defrost Timer,C1,box,NA,33,70,2,GST
NS-1415435,DEFROST TIMER,C1,box,NA,40.9,71.18,2,GST
SE-RF017A,DEFROST TIMER,C1,box,NA,10,62.72,2,GST
SE-RF017D,DEFROST TIMER,C1,box,NA,41.81,62.72,2,GST
SE-RF107A,DEFROST TIMER,C1,box,NA,41.81,62.72,2,GST
QT-6914JB2006R,DEFROST TIMER 6HE 35MIN,C1,box,NA,62,62.72,2,GST
QT-RF096AS,DEFROST TIMER 6HR 21 MIN,C1,box,NA,62,62.72,2,GST
SE-RF096BM,DEFROST TIMER 6HR 21 MIN,C1,box,NA,59.39,89.09,2,GST
SE-RF096BB,DEFROST TIMER 6HR 21MIN,C1,box,NA,41.81,62.72,2,GST
QT-1407843,DEFROST TIMER 6HR CAM ASSY,C1,box,NA,62,62.72,2,GST
SE-RF103,DEFROST TIMER 8 HR 24 MIN,C1,box,NA,41.81,62.72,2,GST
QT-1448728,DEFROST TIMER 8HR,C1,box,NA,80,80.9,2,GST
SE-TMDE503FC,DEFROST TIMER 8HR 12 MIN,C1,box,NA,41.81,62.72,2,GST
DS-063100,Delonghi Door Hinges,C1,box,NA,19.16,50,2,GST
NS-1401960,CONTROL THERMOSTAT KIT,C1,box,NA,50,77.27,2,GST
FP-821304P,COOLSPICE & CONNECTOR COVER (ADAPTOR KIT),C1,box,NA,9.06,10.9,2,GST
QT-DA97-05290Q,COVER EVAPORATOR PC,C1,box,NA,60.64,120,2,GST
SE-RF190,DEFROST BIMETAL & FUSE,C1,box,NA,62,62.72,2,GST
SE-RF190E,DEFROST BIMETAL & FUSE,C1,box,NA,62,62.72,2,GST
FP-821730P,DEFROST HEATER,C1,box,NA,66.66,100,2,GST
FP-820687P,DEFROST HEATER ADAPTERS,C1,box,NA,10,10.9,2,GST
QT-5311439 (RF112),DEFROST HEATER ELECTROLUX,C1,box,NA,41.81,62.72,2,GST
FP-818979,DEFROST HEATER KIT YELLOW,C1,box,NA,59.39,89.09,2,GST
QT-5300JB1045B,DEFROST HEATER LG,C1,box,NA,41.81,62.72,2,GST
QT-5300JB1054B,DEFROST HEATER LG,C1,box,NA,59.39,89.09,2,GST
QT-5300JB1089B,DEFROST HEATER LG,C1,box,NA,59.39,89.09,2,GST
QT-5300JB1092B,DEFROST HEATER LG,C1,box,NA,41.81,62.72,2,GST
QT-61006079,DEFROST HEATER LONG WHIRLPOOL,C1,box,NA,84.84,127.27,2,GST
QT-61006152,DEFROST HEATER SHORT WHIRLPOOL,C1,box,NA,72.72,109.09,2,GST
SE-FR201,DEFROST HEATER WITH PLUG F & P,C1,box,NA,72.72,109.09,2,GST
SE-RF190A,DEFROST SENSOR & FUSE,C1,box,NA,44,44.54,2,GST
SAM-DA32-00006W,DEFROST SENSOR FZ/PC,C1,box,NA,13.5,29,2,GST
QT-6615JB2005A,DEFROST SENSOR WITH FUSE,C1,box,NA,44,44.54,2,GST
SE-RF145,DEFROST TERMINATION,C1,box,NA,44,44.54,2,GST
QT-6615JB2002A,DEFROST THERMOSTAT,C1,box,NA,29.69,44.54,2,GST
QT-J541-00001D,DEFROST THERMOSTAT,C1,box,NA,44,44.54,2,GST
SE- RF103,DEFROST TIMER-DO NOT ORDER,C1,box,NA,15,62.72,2,GST
GLO-050028.1,Delonghi Multi Switch,C1,box,NA,33,89.09,2,GST
BWG-W10151378,DIFFUSER,C1,box,NA,107.27,162.72,2,GST
BWG-W10129864,DIFFUSER ASSEMBLY,C1,box,NA,78.5,117.77,2,GST
NS-40714059,DISCO MELT ELECTROLUX,C1,box,NA,62,62.72,2,GST
DD81-01213A,Dishwasher Drain Hose,C1,box,NA,12.31,26.36,2,GST
SAMDD81-01213A,Dishwasher Drain Hose,C1,box,NA,15.9,31.81,2,GST
SE-DWV114,Dishwasher Heating Element,C1,box,NA,89,89.09,2,GST
SAMDD81-01211A,Dishwasher Inlet Valve Assy,C1,box,NA,56.3,84.54,2,GST
SAM-DC97-16005C,DISPENSER,C1,box,NA,43.6,87.27,2,GST
QT-DWU003,DISPENSER UNIVERSAL,C1,box,NA,999,999,2,GST
PRO-303203101406,Display Board Assembly,C1,box,NA,97.75,147.27,2,GST
EN-71X0023,DISPLAY PCB,C1,box,NA,216,281.81,2,GST
QT-EBR42908702,DISPLAY PCB,C1,box,NA,59,118,2,GST
BSH-704288,DOOR & HANDLE SIMENS,C1,box,NA,999,999,2,GST
PR-NPCNRBD365781,DOOR ASSY FGRIDGE PANASONIC,C1,box,NA,202.67,304,2,GST
DS-1750900100,DOOR CATCH,C1,box,NA,10.4,26.36,2,GST
DS-1880300100,DOOR CATCH,C1,box,NA,10.4,26.36,2,GST
PR-NPCNRBD365722,DOOR FREEZER PANASONIC,C1,box,NA,171.67,527.5,2,GST
BSH-00443455,DOOR GASKET,C1,box,NA,58.49,89.09,2,GST
FP-473543P,DOOR GASKET,C1,box,NA,29.69,44.54,2,GST
NS-0208400069,DOOR GASKET,C1,box,NA,20.9,44.54,2,GST
NS-147110005,Door Gasket,C1,box,NA,41.81,62.72,2,GST
PR-NPAXW2127SR0,DOOR GASKET,C1,box,NA,50.55,71.82,2,GST
QT-0208400069,DOOR GASKET,C1,box,NA,23.63,35.45,2,GST
SM-754130475,Door Gasket,C1,box,NA,41.54,62.72,2,GST
AZ-12002533,DOOR GASKET MAYTAG,C1,box,NA,50.2,100,2,GST
SM-766135921,DOOR HANDLE,C1,box,NA,19.26,34.45,2,GST
QT-3650ER3002B,DOOR HANDLE GREY,C1,box,NA,17,17.27,2,GST
SAM-DC64-02720A,DOOR HANDLE GREY,C1,box,NA,13,13.63,2,GST
AN-9590178-00/013,DOOR HANDLE KIT LIEBHERR,C1,box,NA,51.51,77.27,2,GST
SAM-DC64-01524A,DOOR HANDLE LIGHT GREY,C1,box,NA,18,18.18,2,GST
SAM-DC64-00561A,DOOR HANDLE WHITE,C1,box,NA,26,26.36,2,GST
SAM-DC64-01524B,DOOR HANDLE WHITE,C1,box,NA,13,13.63,2,GST
SAM-DC97-09760A,DOOR HANDLE WHITE,C1,box,NA,13,13.63,2,GST
NS-C459002X,Door Handle/Latch,C1,box,NA,24.54,49.09,2,GST
EN-031499002402R,DOOR HEAD LOWER (L),C1,box,NA,8.35,13.63,2,GST
EN-031499002401R,DOOR HEAD LOWER (R),C1,box,NA,8.35,13.63,2,GST
EN-031499002405R,DOOR HEAD UPPER (L),C1,box,NA,8.35,13.63,2,GST
EN-031499002406R,DOOR HEAD UPPER (R),C1,box,NA,8.35,13.63,2,GST
AR-C00083113,DOOR HINGE,C1,box,NA,31.69,53.36,2,GST
DS-031199009941R,DOOR HINGE,C1,box,NA,53.8,109.09,2,GST
NS-0045001051,DOOR HINGE,C1,box,NA,98,98,2,GST
NS-0045300029,DOOR HINGE,C1,box,NA,11.81,26.36,2,GST
SAM-DA97-06158A,DOOR HINGE,C1,box,NA,12.65,19.09,2,GST
SE-213,DOOR HINGE,C1,box,NA,18,26.36,2,GST
PR-1260000153,DOOR HINGE (LH),C1,box,NA,42.08,62.72,2,GST
